,Title,Organisation,Closing Date,Job Type,Discipline,Location
85,FY26 Trainee - Melbourne - Actuarial,PwC,Closing in 10 days,Cadetships,"['Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Data Science and Analytics', 'Mathematics']",['Melbourne']
86,FY26 Graduate - Brisbane - Risk,PwC,Closing in 10 days,Graduate Jobs,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Compliance', 'Computer Science', 'Data Science and Analytics', 'Engineering', 'Information Systems', 'Information Technology', 'Law', 'Mathematics']",['Brisbane']
87,FY26 Graduate - Perth - Actuarial,PwC,Closing in 10 days,Graduate Jobs,"['Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Data Science and Analytics', 'Mathematics']",['Perth']
88,FY26 Graduate - Brisbane - Technology,PwC,Closing in 10 days,Graduate Jobs,"['Accounting', 'Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Data Science and Analytics', 'Engineering', 'Information Technology', 'Law', 'Mathematics', 'Statistics']",['Brisbane']
89,FY26 Graduate - Brisbane - Deals,PwC,Closing in 10 days,Graduate Jobs,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Engineering', 'Information Technology', 'Law']",['Brisbane']
90,FY26 Graduate - Melbourne - Technology,PwC,Closing in 10 days,Graduate Jobs,"['Accounting', 'Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Data Science and Analytics', 'Engineering', 'Information Systems', 'Information Technology', 'Law', 'Mathematics', 'Statistics']",['Melbourne']
91,"FY26 Vacationer - Canberra - Accounting, Assurance & Audit",PwC,Closing in 10 days,Internships,"['Accounting', 'Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Engineering', 'Engineering   Environmental', 'Information Technology', 'Law', 'Mathematics']",['Canberra']
92,"FY26 Vacationer - Melbourne - Accounting, Assurance & Audit",PwC,Closing in 10 days,Internships,"['Accounting', 'Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Engineering', 'Engineering   Environmental', 'Information Technology', 'Law', 'Mathematics']",['Melbourne']
93,"FY26 Vacationer - Newcastle - Accounting, Assurance & Audit",PwC,Closing in 10 days,Internships,"['Accounting', 'Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Engineering', 'Engineering   Environmental', 'Information Technology', 'Law', 'Mathematics']",['Regional New South Wales']
94,"FY26 Vacationer - Perth - Accounting, Assurance & Audit",PwC,Closing in 10 days,Internships,"['Accounting', 'Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Engineering', 'Engineering   Environmental', 'Information Technology', 'Law', 'Mathematics']",['Perth']
95,FY26 Vacationer - Sydney - Actuarial,PwC,Closing in 10 days,Internships,"['Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Data Science and Analytics', 'Mathematics']",['Sydney']
96,FY26 Vacationer - Sydney - Tax & Legal,PwC,Closing in 10 days,Internships,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Data Science and Analytics', 'Engineering', 'Information Systems', 'Information Technology', 'Law', 'Mathematics', 'Statistics']",['Sydney']
97,FY26 Vacationer - Perth - Technology,PwC,Closing in 10 days,Internships,"['Accounting', 'Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Data Science and Analytics', 'Engineering', 'Information Technology', 'Law', 'Mathematics', 'Statistics']",['Perth']
98,FY26 Vacationer - Sydney - Technology,PwC,Closing in 10 days,Internships,"['Accounting', 'Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Data Science and Analytics', 'Engineering', 'Information Technology', 'Law', 'Mathematics', 'Statistics']",['Sydney']
99,FY26 Vacationer - Perth - Deals,PwC,Closing in 10 days,Internships,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Engineering', 'Information Technology', 'Law']",['Perth']
100,FY26 Vacationer - Brisbane - Deals,PwC,Closing in 10 days,Internships,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Engineering', 'Information Technology', 'Law']",['Brisbane']
101,FY26 Vacationer - Sydney - Consulting,PwC,Closing in 10 days,Internships,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Data Science and Analytics', 'Engineering', 'Engineering   Aerospace/Aeronautical', 'Engineering   Environmental', 'Engineering   Geotechnical', 'Engineering   Petroleum', 'Information Systems', 'Information Technology', 'Law', 'Management', 'Marketing and Sales']",['Sydney']
102,FY26 Vacationer - Melbourne - Consulting,PwC,Closing in 10 days,Internships,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Data Science and Analytics', 'Engineering', 'Engineering   Aerospace/Aeronautical', 'Engineering   Environmental', 'Engineering   Geotechnical', 'Engineering   Petroleum', 'Information Systems', 'Information Technology', 'Law', 'Management', 'Marketing and Sales']",['Melbourne']
103,FY26 Vacationer - Perth - Tax & Legal,PwC,Closing in 10 days,Internships,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Data Science and Analytics', 'Engineering', 'Information Systems', 'Information Technology', 'Law', 'Mathematics', 'Statistics']",['Perth']
104,FY26 Vacationer - Sydney - Deals,PwC,Closing in 10 days,Internships,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Engineering', 'Information Technology', 'Law']",['Sydney']
105,FY26 Vacationer - Sydney - Risk,PwC,Closing in 10 days,Internships,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Compliance', 'Computer Science', 'Data Science and Analytics', 'Engineering', 'Information Technology', 'Law', 'Mathematics']",['Sydney']
106,"FY26 Vacationer - Sydney - Accounting, Assurance & Audit",PwC,Closing in 10 days,Internships,"['Accounting', 'Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Computer Science', 'Engineering', 'Engineering   Environmental', 'Information Technology', 'Law', 'Mathematics']",['Sydney']
107,FY26 Vacationer - Melbourne - Actuarial,PwC,Closing in 10 days,Internships,"['Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Data Science and Analytics', 'Mathematics']",['Melbourne']
108,FY26 Vacationer - Perth - Actuarial,PwC,Closing in 10 days,Internships,"['Actuarial Studies', 'Banking and Finance', 'Business and Commerce', 'Data Science and Analytics', 'Mathematics']",['Perth']
109,FY26 Vacationer - Melbourne - Tax & Legal,PwC,Closing in 10 days,Internships,"['Accounting', 'Banking and Finance', 'Business and Commerce', 'Data Science and Analytics', 'Engineering', 'Information Systems', 'Information Technology', 'Law', 'Mathematics', 'Statistics']",['Melbourne']
